MM/YY,NINO1+2,NINO2,NINO3.4,NINO4
Jan 1982,75.70°F,78.51°F,79.97°F,82.42°F
Feb 1982,77.68°F,79.27°F,79.77°F,82.38°F
Mar 1982,77.40°F,80.46°F,80.76°F,82.72°F
Apr 1982,76.23°F,81.54°F,82.09°F,83.50°F
May 1982,75.20°F,81.86°F,83.07°F,84.54°F
Jun 1982,73.18°F,80.78°F,83.03°F,85.03°F
Jul 1982,71.73°F,79.05°F,81.63°F,83.77°F
Aug 1982,71.08°F,78.89°F,81.97°F,83.66°F
Sep 1982,71.44°F,79.70°F,82.42°F,84.04°F
Oct 1982,72.81°F,80.67°F,83.30°F,84.40°F
Nov 1982,75.92°F,81.30°F,83.30°F,83.93°F
Dec 1982,78.31°F,82.53°F,83.93°F,83.86°F
Jan 1983,80.28°F,83.07°F,83.66°F,83.53°F
Feb 1983,81.77°F,83.10°F,83.37°F,83.32°F
Mar 1983,83.01°F,83.26°F,83.21°F,83.46°F
Apr 1983,82.58°F,83.77°F,83.28°F,83.28°F
May 1983,82.17°F,83.55°F,83.41°F,84.15°F
Jun 1983,80.96°F,82.56°F,82.69°F,83.80°F
Jul 1983,78.24°F,79.81°F,80.55°F,83.23°F
Aug 1983,74.71°F,78.39°F,79.63°F,82.76°F
Sep 1983,71.89°F,77.38°F,79.48°F,82.51°F
Oct 1983,71.56°F,76.21°F,78.35°F,81.81°F
Nov 1983,71.62°F,75.49°F,77.95°F,81.81°F
Dec 1983,73.31°F,75.90°F,77.88°F,81.46°F
Jan 1984,75.83°F,76.64°F,78.08°F,81.34°F
Feb 1984,77.41°F,79.54°F,79.83°F,81.07°F
Mar 1984,78.30°F,80.38°F,80.08°F,81.18°F
Apr 1984,77.50°F,81.10°F,81.09°F,81.57°F
May 1984,74.19°F,79.48°F,80.94°F,82.29°F
Jun 1984,71.98°F,77.65°F,80.02°F,82.47°F
Jul 1984,70.07°F,77.07°F,79.92°F,83.01°F
Aug 1984,68.50°F,76.35°F,79.45°F,82.47°F
Sep 1984,68.36°F,76.50°F,79.43°F,82.80°F
Oct 1984,68.81°F,75.52°F,78.84°F,82.44°F
Nov 1984,70.56°F,75.47°F,77.94°F,82.26°F
Dec 1984,72.72°F,75.00°F,77.29°F,81.41°F
Jan 1985,74.46°F,75.70°F,77.47°F,81.30°F
Feb 1985,76.62°F,77.43°F,78.46°F,81.55°F
Mar 1985,78.19°F,79.18°F,79.43°F,81.01°F
Apr 1985,75.74°F,79.95°F,80.08°F,81.36°F
May 1985,72.90°F,78.78°F,80.26°F,81.88°F
Jun 1985,71.29°F,77.81°F,79.93°F,82.18°F
Jul 1985,68.83°F,76.51°F,79.70°F,82.49°F
Aug 1985,67.28°F,75.63°F,79.29°F,82.56°F
Sep 1985,66.61°F,75.27°F,78.78°F,82.54°F
Oct 1985,67.57°F,75.40°F,78.85°F,82.60°F
Nov 1985,69.49°F,75.72°F,79.21°F,82.94°F
Dec 1985,72.21°F,75.90°F,78.89°F,82.58°F
Jan 1986,76.10°F,76.64°F,78.51°F,81.86°F
Feb 1986,78.58°F,78.44°F,78.71°F,81.91°F
Mar 1986,78.64°F,80.13°F,79.95°F,82.29°F
Apr 1986,76.68°F,80.67°F,81.12°F,82.09°F
May 1986,74.01°F,79.59°F,81.18°F,83.03°F
Jun 1986,71.89°F,79.07°F,81.28°F,83.48°F
Jul 1986,70.20°F,78.40°F,81.07°F,83.30°F
Aug 1986,69.30°F,77.22°F,80.76°F,83.62°F
Sep 1986,68.85°F,77.54°F,80.89°F,83.89°F
Oct 1986,69.80°F,77.77°F,81.10°F,84.04°F
Nov 1986,70.92°F,78.33°F,81.25°F,84.15°F
Dec 1986,73.33°F,78.55°F,81.45°F,83.55°F
Jan 1987,77.11°F,79.66°F,81.52°F,83.26°F
Feb 1987,80.15°F,80.89°F,81.59°F,83.14°F
Mar 1987,81.57°F,82.33°F,82.62°F,83.66°F
Apr 1987,79.88°F,82.65°F,82.85°F,83.79°F
May 1987,77.81°F,82.09°F,82.76°F,83.93°F
Jun 1987,74.89°F,80.87°F,83.16°F,84.52°F
Jul 1987,72.55°F,80.37°F,83.01°F,84.34°F
Aug 1987,70.84°F,79.30°F,82.58°F,84.27°F
Sep 1987,70.32°F,79.48°F,82.54°F,84.22°F
Oct 1987,71.91°F,78.73°F,81.93°F,84.76°F
Nov 1987,72.59°F,78.67°F,81.81°F,84.76°F
Dec 1987,73.90°F,79.11°F,81.34°F,84.13°F
Jan 1988,75.79°F,79.16°F,81.01°F,83.70°F
Feb 1988,78.22°F,79.43°F,80.51°F,83.12°F
Mar 1988,78.35°F,80.73°F,81.12°F,82.67°F
Apr 1988,76.39°F,80.26°F,81.07°F,82.24°F
May 1988,74.26°F,77.97°F,79.81°F,82.53°F
Jun 1988,70.84°F,76.06°F,78.82°F,82.20°F
Jul 1988,68.41°F,74.82°F,78.03°F,82.02°F
Aug 1988,66.54°F,74.52°F,77.85°F,81.86°F
Sep 1988,66.31°F,75.33°F,78.49°F,82.24°F
Oct 1988,66.83°F,74.32°F,76.57°F,80.47°F
Nov 1988,68.74°F,74.08°F,76.28°F,80.26°F
Dec 1988,71.01°F,74.19°F,76.33°F,80.01°F
Jan 1989,75.27°F,75.61°F,76.21°F,79.45°F
Feb 1989,78.55°F,77.76°F,77.47°F,79.93°F
Mar 1989,79.88°F,78.67°F,78.44°F,80.55°F
Apr 1989,78.08°F,79.72°F,79.68°F,81.34°F
May 1989,74.05°F,79.36°F,80.58°F,82.58°F
Jun 1989,71.65°F,79.25°F,80.65°F,82.02°F
Jul 1989,70.05°F,77.63°F,80.11°F,82.33°F
Aug 1989,68.63°F,76.23°F,79.12°F,82.02°F
Sep 1989,67.46°F,76.30°F,79.25°F,82.63°F
Oct 1989,68.36°F,76.14°F,79.20°F,82.65°F
Nov 1989,70.14°F,76.10°F,79.18°F,82.24°F
Dec 1989,72.07°F,76.57°F,79.59°F,82.94°F
Jan 1990,75.06°F,77.49°F,79.61°F,82.76°F
Feb 1990,78.19°F,79.29°F,80.13°F,82.89°F
Mar 1990,78.98°F,80.01°F,80.69°F,83.05°F
Apr 1990,77.05°F,81.25°F,81.93°F,83.61°F
May 1990,75.20°F,81.03°F,82.26°F,83.55°F
Jun 1990,72.99°F,79.63°F,81.39°F,83.55°F
Jul 1990,69.67°F,78.30°F,81.09°F,83.62°F
Aug 1990,68.70°F,77.29°F,80.58°F,83.89°F
Sep 1990,67.96°F,77.00°F,80.11°F,83.77°F
Oct 1990,68.14°F,76.84°F,80.51°F,84.13°F
Nov 1990,69.31°F,76.71°F,80.11°F,83.88°F
Dec 1990,71.82°F,77.32°F,80.35°F,83.91°F
Jan 1991,74.71°F,78.13°F,80.40°F,83.52°F
Feb 1991,78.26°F,79.30°F,80.37°F,83.12°F
Mar 1991,79.38°F,80.53°F,80.89°F,83.08°F
Apr 1991,77.38°F,81.30°F,82.20°F,83.71°F
May 1991,76.37°F,81.39°F,82.63°F,84.52°F
Jun 1991,73.53°F,81.01°F,82.58°F,84.29°F
Jul 1991,71.71°F,79.57°F,81.99°F,84.11°F
Aug 1991,69.76°F,77.99°F,81.50°F,84.33°F
Sep 1991,69.30°F,77.22°F,80.73°F,83.93°F
Oct 1991,69.96°F,77.65°F,81.34°F,84.76°F
Nov 1991,71.46°F,78.67°F,81.88°F,84.42°F
Dec 1991,73.63°F,79.34°F,82.65°F,84.58°F
Jan 1992,76.26°F,80.35°F,82.81°F,83.84°F
Feb 1992,79.25°F,81.21°F,82.90°F,83.77°F
Mar 1992,81.28°F,82.17°F,83.10°F,83.89°F
Apr 1992,80.91°F,83.23°F,83.86°F,84.25°F
May 1992,78.96°F,82.90°F,83.82°F,84.42°F
Jun 1992,74.59°F,80.82°F,82.62°F,84.22°F
Jul 1992,70.59°F,78.17°F,81.41°F,84.42°F
Aug 1992,69.21°F,76.96°F,80.28°F,83.57°F
Sep 1992,68.67°F,76.68°F,79.88°F,83.57°F
Oct 1992,69.78°F,76.39°F,79.29°F,83.21°F
Nov 1992,70.47°F,76.95°F,79.95°F,83.07°F
Dec 1992,72.34°F,77.18°F,80.20°F,83.26°F
Jan 1993,75.65°F,78.19°F,80.11°F,82.98°F
Feb 1993,79.02°F,80.04°F,80.73°F,82.58°F
Mar 1993,80.31°F,81.28°F,81.43°F,82.92°F
Apr 1993,79.21°F,82.44°F,82.63°F,83.32°F
May 1993,77.29°F,82.49°F,83.35°F,83.82°F
Jun 1993,74.35°F,80.28°F,82.15°F,83.77°F
Jul 1993,71.71°F,78.87°F,81.52°F,83.84°F
Aug 1993,69.76°F,77.45°F,80.35°F,83.61°F
Sep 1993,69.58°F,77.29°F,80.60°F,83.89°F
Oct 1993,70.14°F,77.50°F,80.53°F,83.59°F
Nov 1993,70.95°F,77.38°F,80.42°F,83.77°F
Dec 1993,72.43°F,77.45°F,80.13°F,83.73°F
Jan 1994,75.76°F,78.35°F,79.84°F,82.96°F
Feb 1994,78.37°F,79.14°F,79.97°F,82.20°F
Mar 1994,77.97°F,80.35°F,81.28°F,82.90°F
Apr 1994,76.12°F,80.62°F,82.18°F,83.12°F
May 1994,74.34°F,80.51°F,82.40°F,84.16°F
Jun 1994,72.36°F,79.56°F,82.11°F,84.25°F
Jul 1994,70.20°F,77.47°F,81.12°F,84.65°F
Aug 1994,67.80°F,76.77°F,81.14°F,84.76°F
Sep 1994,68.11°F,76.82°F,80.67°F,84.29°F
Oct 1994,70.81°F,78.04°F,81.27°F,84.54°F
Nov 1994,72.07°F,78.67°F,81.91°F,84.65°F
Dec 1994,74.23°F,78.93°F,82.02°F,84.49°F
Jan 1995,77.07°F,79.11°F,81.18°F,83.77°F
Feb 1995,79.11°F,80.15°F,81.27°F,83.84°F
Mar 1995,79.34°F,80.55°F,81.55°F,83.86°F
Apr 1995,76.37°F,80.60°F,82.17°F,83.98°F
May 1995,74.07°F,79.52°F,81.81°F,84.29°F
Jun 1995,72.39°F,78.85°F,81.23°F,84.02°F
Jul 1995,70.41°F,77.92°F,80.76°F,83.68°F
Aug 1995,68.25°F,75.99°F,79.39°F,83.26°F
Sep 1995,68.41°F,75.49°F,78.98°F,83.05°F
Oct 1995,68.09°F,75.52°F,78.48°F,82.60°F
Nov 1995,70.75°F,75.52°F,78.46°F,82.49°F
Dec 1995,71.55°F,75.76°F,78.31°F,82.33°F
Jan 1996,74.89°F,76.93°F,78.33°F,81.95°F
Feb 1996,78.08°F,78.30°F,78.73°F,81.46°F
Mar 1996,79.07°F,79.99°F,79.84°F,81.72°F
Apr 1996,75.36°F,79.93°F,81.18°F,82.42°F
May 1996,73.90°F,79.45°F,81.27°F,83.14°F
Jun 1996,71.35°F,78.57°F,81.01°F,83.21°F
Jul 1996,68.88°F,77.40°F,80.47°F,83.07°F
Aug 1996,67.55°F,76.42°F,79.86°F,83.19°F
Sep 1996,67.10°F,76.03°F,79.54°F,83.05°F
Oct 1996,68.25°F,75.92°F,79.20°F,83.01°F
Nov 1996,68.61°F,76.21°F,79.50°F,82.83°F
Dec 1996,71.01°F,75.56°F,78.87°F,82.96°F
Jan 1997,74.44°F,76.44°F,78.71°F,82.62°F
Feb 1997,78.15°F,78.19°F,79.41°F,82.80°F
Mar 1997,80.29°F,80.11°F,80.38°F,83.03°F
Apr 1997,79.75°F,81.07°F,81.86°F,84.20°F
May 1997,79.59°F,81.81°F,82.90°F,84.58°F
Jun 1997,78.75°F,82.13°F,83.34°F,84.27°F
Jul 1997,77.76°F,81.77°F,83.43°F,84.54°F
Aug 1997,76.23°F,81.57°F,83.44°F,84.25°F
Sep 1997,75.58°F,81.55°F,83.48°F,84.61°F
Oct 1997,75.99°F,82.00°F,83.71°F,84.18°F
Nov 1997,77.65°F,82.81°F,84.07°F,84.72°F
Dec 1997,79.83°F,82.99°F,83.73°F,84.00°F
Jan 1998,81.32°F,83.16°F,83.46°F,83.61°F
Feb 1998,82.42°F,83.43°F,83.25°F,83.52°F
Mar 1998,83.32°F,83.86°F,83.16°F,83.28°F
Apr 1998,82.53°F,83.79°F,82.94°F,83.10°F
May 1998,81.43°F,82.89°F,82.99°F,83.41°F
Jun 1998,77.16°F,79.47°F,80.53°F,83.05°F
Jul 1998,74.25°F,77.88°F,79.07°F,82.44°F
Aug 1998,71.56°F,76.60°F,78.26°F,82.02°F
Sep 1998,70.00°F,75.88°F,78.31°F,82.24°F
Oct 1998,70.99°F,75.52°F,77.77°F,81.09°F
Nov 1998,70.61°F,76.05°F,77.92°F,81.03°F
Dec 1998,73.54°F,75.42°F,76.84°F,80.53°F
Jan 1999,74.88°F,76.14°F,76.96°F,79.79°F
Feb 1999,78.21°F,78.15°F,78.13°F,79.92°F
Mar 1999,79.90°F,80.28°F,79.41°F,80.40°F
Apr 1999,75.58°F,80.13°F,80.26°F,81.00°F
May 1999,74.82°F,79.83°F,80.53°F,82.04°F
Jun 1999,72.23°F,78.51°F,79.92°F,82.33°F
Jul 1999,69.87°F,77.02°F,79.29°F,81.86°F
Aug 1999,68.05°F,75.67°F,78.22°F,81.93°F
Sep 1999,67.35°F,75.00°F,78.31°F,81.99°F
Oct 1999,68.23°F,74.75°F,78.04°F,82.11°F
Nov 1999,69.19°F,74.53°F,77.34°F,81.57°F
Dec 1999,71.91°F,74.62°F,76.98°F,80.98°F
Jan 2000,75.07°F,75.20°F,76.64°F,80.64°F
Feb 2000,78.28°F,77.68°F,77.38°F,80.04°F
Mar 2000,78.58°F,79.81°F,79.00°F,80.11°F
Apr 2000,78.69°F,81.28°F,80.44°F,81.12°F
May 2000,75.15°F,79.99°F,80.44°F,81.77°F
Jun 2000,72.84°F,78.64°F,80.62°F,82.94°F
Jul 2000,69.40°F,77.13°F,79.83°F,82.78°F
Aug 2000,67.73°F,76.35°F,79.50°F,82.65°F
Sep 2000,68.02°F,76.19°F,79.23°F,83.01°F
Oct 2000,68.68°F,76.12°F,78.91°F,82.44°F
Nov 2000,69.17°F,75.72°F,78.66°F,82.40°F
Dec 2000,72.37°F,76.19°F,78.06°F,81.12°F
Jan 2001,75.47°F,77.45°F,78.46°F,81.16°F
Feb 2001,78.28°F,79.11°F,79.12°F,80.78°F
Mar 2001,80.49°F,81.09°F,80.35°F,81.50°F
Apr 2001,79.27°F,81.23°F,81.03°F,82.24°F
May 2001,75.67°F,80.58°F,81.36°F,83.08°F
Jun 2001,72.48°F,79.56°F,81.59°F,83.44°F
Jul 2001,70.25°F,77.90°F,80.94°F,84.09°F
Aug 2001,68.56°F,76.75°F,80.26°F,83.79°F
Sep 2001,67.66°F,76.12°F,79.84°F,84.31°F
Oct 2001,67.64°F,76.32°F,79.74°F,83.97°F
Nov 2001,69.39°F,75.83°F,79.43°F,83.82°F
Dec 2001,71.94°F,76.42°F,79.00°F,83.05°F
Jan 2002,75.09°F,77.04°F,79.45°F,83.48°F
Feb 2002,78.84°F,78.85°F,80.17°F,83.16°F
Mar 2002,81.12°F,81.00°F,80.91°F,82.92°F
Apr 2002,79.50°F,81.41°F,82.11°F,83.98°F
May 2002,77.63°F,81.28°F,82.53°F,84.72°F
Jun 2002,73.94°F,80.83°F,82.96°F,84.81°F
Jul 2002,71.35°F,79.11°F,82.18°F,84.63°F
Aug 2002,69.28°F,77.95°F,81.61°F,84.61°F
Sep 2002,69.44°F,78.22°F,81.70°F,84.63°F
Oct 2002,70.95°F,78.35°F,82.02°F,84.65°F
Nov 2002,73.06°F,79.32°F,82.45°F,85.10°F
Dec 2002,74.71°F,79.56°F,82.29°F,84.70°F
Jan 2003,76.05°F,79.41°F,81.41°F,83.95°F
