Name,Disaster,Begin Date,End Date,Total CPI-Adjusted Cost (Millions of Dollars),Deaths,Month,Year,Date,Total CPI-Adjusted Cost (Billions of Dollars)
Southern Severe Storms and Flooding,Flooding,1980-04-10,1980-04-17,2707.0,7,April,1980,1980-04-13,2.707
Hurricane Allen,Tropical Cyclone,1980-08-07,1980-08-11,2200.8,13,August,1980,1980-08-09,2.2008
Central/Eastern Drought/Heat Wave,Drought,1980-06-01,1980-11-30,39979.8,1260,August,1980,1980-08-31,39.979800000000004
Florida Freeze,Freeze,1981-01-12,1981-01-14,2042.0,0,January,1981,1981-01-13,2.042
"Severe Storms, Flash Floods, Hail, Tornadoes",Severe Storm,1981-05-05,1981-05-10,1389.0,20,May,1981,1981-05-07,1.389
"Midwest/Southeast/Northeast Winter Storm, Cold Wave",Winter Storm,1982-01-08,1982-01-16,2178.0,85,January,1982,1982-01-12,2.178
Midwest/Plains/Southeast Tornadoes,Severe Storm,1982-04-02,1982-04-04,1579.4,33,April,1982,1982-04-03,1.5794000000000001
Severe Storms,Severe Storm,1982-05-31,1982-06-10,1554.9,30,June,1982,1982-06-05,1.5549000000000002
Gulf States Storms and Flooding,Flooding,1982-12-01,1983-01-15,4869.3,45,,,1982-12-23,4.8693
Western Storms and Flooding,Flooding,1982-12-13,1983-03-31,4753.7,50,,,1983-02-05,4.7537
Hurricane Alicia,Tropical Cyclone,1983-08-17,1983-08-20,9300.0,21,August,1983,1983-08-18,9.3
Southeast Drought,Drought,1983-06-01,1983-08-31,9396.0,0,July,1983,1983-07-16,9.396
Arizona Flooding,Flooding,1983-09-29,1983-10-03,1232.0,14,October,1983,1983-10-01,1.232
Freeze / Cold Wave,Freeze,1983-12-15,1983-12-25,6359.2,151,December,1983,1983-12-20,6.3591999999999995
"Tornadoes, Severe Storms, Floods",Severe Storm,1984-03-27,1984-04-07,1821.5,80,April,1984,1984-04-01,1.8215
Severe Storms and Hail,Severe Storm,1984-06-13,1984-06-17,1334.1,1,June,1984,1984-06-15,1.3340999999999998
"Winter Storm, Cold Wave",Winter Storm,1985-01-19,1985-01-22,2460.4,150,January,1985,1985-01-20,2.4604
Florida Freeze,Freeze,1985-01-20,1985-01-22,3528.0,0,January,1985,1985-01-21,3.528
Ohio and Pennsylvania Tornado Outbreak,Severe Storm,1985-05-31,1985-05-31,1728.0,89,June,1985,1985-05-31,1.728
Hurricane Elena,Tropical Cyclone,1985-08-30,1985-09-03,3723.6,4,September,1985,1985-09-01,3.7236
Hurricane Gloria,Tropical Cyclone,1985-09-26,1985-09-28,2457.0,11,September,1985,1985-09-27,2.457
Hurricane Juan,Tropical Cyclone,1985-10-27,1985-10-31,4265.6,63,October,1985,1985-10-29,4.2656
"Virginia, West Virginia, Pennsylvania and Maryland Flooding",Flooding,1985-11-03,1985-11-08,3990.0,62,November,1985,1985-11-05,3.99
Western Severe Storms and Flooding,Severe Storm,1986-02-14,1986-02-16,1504.6,13,February,1986,1986-02-15,1.5046
Southeast Drought/Heat Wave,Drought,1986-06-01,1986-08-31,5104.4,100,July,1986,1986-07-16,5.1044
Michigan Flooding,Flooding,1986-09-10,1986-09-12,1128.0,10,September,1986,1986-09-11,1.128
U.S. Drought/Heat Wave,Drought,1988-06-01,1988-08-31,53610.3,454,July,1988,1988-07-16,53.6103
Southern Derecho and Severe Storms,Severe Storm,1989-05-01,1989-05-06,1384.2,21,May,1989,1989-05-03,1.3842
Tropical Storm Allison,Tropical Cyclone,1989-06-26,1989-06-28,1462.5,11,June,1989,1989-06-27,1.4625
Hurricane Hugo,Tropical Cyclone,1989-09-21,1989-09-22,22319.8,86,September,1989,1989-09-21,22.3198
Northern Plains Drought,Drought,1989-06-01,1989-11-30,7688.2,0,August,1989,1989-08-31,7.6882
Florida Freeze,Freeze,1989-12-23,1989-12-25,5120.0,10,December,1989,1989-12-24,5.12
"Winter Storm, Cold Wave",Winter Storm,1989-12-21,1989-12-26,1673.2,100,December,1989,1989-12-23,1.6732
Southern Flooding,Flooding,1990-05-11,1990-05-19,2416.6,13,May,1990,1990-05-15,2.4166
Colorado Hail Storm,Severe Storm,1990-07-11,1990-07-11,1951.7,0,July,1990,1990-07-11,1.9517
Western Fire Season,Wildfire,1990-06-01,1990-08-31,1687.4,17,July,1990,1990-07-16,1.6874
California Freeze,Freeze,1990-12-18,1990-12-25,8296.0,0,December,1990,1990-12-21,8.296
"Severe Storms, Tornadoes",Severe Storm,1991-03-26,1991-03-29,1483.5,0,March,1991,1991-03-27,1.4835
Hurricane Bob,Tropical Cyclone,1991-08-18,1991-08-20,3411.6,18,August,1991,1991-08-19,3.4116
U.S. Drought,Drought,1991-03-01,1991-08-31,6949.7,0,June,1991,1991-05-31,6.9497
Oakland Firestorm,Wildfire,1991-10-01,1991-10-31,7458.0,25,October,1991,1991-10-16,7.458
Severe Storms,Severe Storm,1992-03-24,1992-03-25,1793.7,0,March,1992,1992-03-24,1.7937
"Hail, Tornadoes",Severe Storm,1992-04-28,1992-04-29,2118.8,0,April,1992,1992-04-28,2.1188000000000002
"Severe Storms, Hail",Severe Storm,1992-06-19,1992-06-20,1653.1,0,June,1992,1992-06-19,1.6531
Hurricane Andrew,Tropical Cyclone,1992-08-23,1992-08-27,59400.0,61,August,1992,1992-08-25,59.4
Hurricane Iniki,Tropical Cyclone,1992-09-11,1992-09-12,6820.0,7,September,1992,1992-09-11,6.82
Southeast Severe Weather,Severe Storm,1992-11-21,1992-11-23,1439.0,26,November,1992,1992-11-22,1.439
Northeast Winter Storm,Winter Storm,1992-12-10,1992-12-13,5437.9,19,December,1992,1992-12-11,5.4379
East Coast Blizzard and Severe Weather,Winter Storm,1993-03-11,1993-03-14,11993.6,270,March,1993,1993-03-12,11.9936
Northern Plains and Ohio Valley Severe Weather,Severe Storm,1993-07-08,1993-07-10,1384.6,1,July,1993,1993-07-09,1.3845999999999998
Midwest Flooding,Flooding,1993-06-27,1993-08-15,45694.8,48,July,1993,1993-07-21,45.6948
Southeast Drought and Heat Wave,Drought,1993-06-01,1993-08-31,2742.4,16,July,1993,1993-07-16,2.7424
California Wildfires,Wildfire,1993-09-01,1993-11-30,2935.0,4,October,1993,1993-10-16,2.935
"Winter Storm, Cold Wave",Winter Storm,1994-01-17,1994-01-20,2204.7,70,January,1994,1994-01-18,2.2047
Southeast Ice Storm,Winter Storm,1994-02-08,1994-02-13,6354.5,9,February,1994,1994-02-10,6.3545
Midwest/Plains Tornadoes,Severe Storm,1994-04-25,1994-04-27,2078.6,3,April,1994,1994-04-26,2.0786
Tropical Storm Alberto,Tropical Cyclone,1994-07-07,1994-07-10,2086.9,32,July,1994,1994-07-08,2.0869
Texas Flooding,Flooding,1994-10-16,1994-10-25,2080.0,19,October,1994,1994-10-20,2.08
Western Fire Season,Wildfire,1994-06-01,1994-11-30,1522.5,0,August,1994,1994-08-31,1.5225
California Flooding,Flooding,1995-01-01,1995-03-31,5150.0,27,February,1995,1995-02-14,5.15
Texas Hail Storm,Severe Storm,1995-04-28,1995-04-28,1173.0,0,April,1995,1995-04-28,1.173
South Plains Severe Weather,Severe Storm,1995-05-05,1995-05-07,11192.4,32,May,1995,1995-05-06,11.1924
Hurricane Erin,Tropical Cyclone,1995-08-01,1995-08-07,1725.5,6,August,1995,1995-08-04,1.7255
Hurricane Marilyn,Tropical Cyclone,1995-09-15,1995-09-17,4263.0,13,September,1995,1995-09-16,4.263
"Central, Southern and Northeast Drought/Heat Wave",Drought,1995-07-01,1995-09-30,1997.9,872,September,1995,1995-08-15,1.9979
Hurricane Opal,Tropical Cyclone,1995-10-04,1995-10-06,9471.8,27,October,1995,1995-10-05,9.4718
Blizzard/Floods,Winter Storm,1996-01-01,1996-01-31,6036.0,187,January,1996,1996-01-16,6.036
Pacific Northwest Severe Flooding,Flooding,1996-02-07,1996-02-12,2026.7,9,February,1996,1996-02-09,2.0267
Southern Plains Drought,Drought,1996-03-01,1996-08-31,3600.9,0,June,1996,1996-05-31,3.6009
Hurricane Fran,Tropical Cyclone,1996-09-05,1996-09-08,9863.8,37,September,1996,1996-09-06,9.8638
New England Flooding,Flooding,1996-10-19,1996-10-22,1331.8,1,October,1996,1996-10-20,1.3317999999999999
West Coast Flooding,Flooding,1997-01-01,1997-01-11,5883.2,36,,,1997-01-06,5.8831999999999995
Mississippi and Ohio Valley Severe Weather and Flooding,Severe Storm,1997-02-28,1997-03-05,1896.6,67,March,1997,1997-03-02,1.8965999999999998
Northern Plains Flooding,Flooding,1997-02-03,1997-05-24,7132.5,11,April,1997,1997-03-30,7.1325
Northeast Ice Storm,Winter Storm,1998-01-05,1998-01-09,2691.4,16,January,1998,1998-01-07,2.6914000000000002
Western/Eastern Severe Weather and Flooding,Severe Storm,1997-12-01,1998-02-28,1928.9,132,March,1998,1998-01-14,1.9289
Minnesota Severe Storms/Hail,Severe Storm,1998-05-15,1998-05-15,3115.7,1,May,1998,1998-05-15,3.1157
"Northern Plains and Great Lakes Derecho, Tornadoes",Severe Storm,1998-05-30,1998-06-02,2174.2,20,June,1998,1998-05-31,2.1742
Central and Eastern Severe Storms and Flooding,Severe Storm,1998-06-20,1998-06-24,1698.6,12,June,1998,1998-06-22,1.6985999999999999
Tropical Storm Frances,Tropical Cyclone,1998-08-08,1998-08-13,1330.0,2,September,1998,1998-08-10,1.33
Hurricane Bonnie,Tropical Cyclone,1998-08-27,1998-08-29,1862.0,3,August,1998,1998-08-28,1.862
Southern Drought and Heat Wave,Drought,1998-06-01,1998-08-31,6773.9,200,July,1998,1998-07-16,6.773899999999999
Hurricane Georges,Tropical Cyclone,1998-09-20,1998-09-29,11370.7,16,September,1998,1998-09-24,11.370700000000001
Texas Flooding,Flooding,1998-10-16,1998-10-24,1780.6,31,October,1998,1998-10-20,1.7806
California Freeze,Freeze,1998-12-20,1998-12-28,4800.0,0,December,1998,1998-12-24,4.8
Central and Eastern Winter Storm,Winter Storm,1999-01-01,1999-01-04,1951.8,25,January,1999,1999-01-02,1.9518
Central and Eastern Winter Storm,Winter Storm,1999-01-13,1999-01-16,1666.9,0,January,1999,1999-01-14,1.6669
Oklahoma and Kansas Tornadoes,Severe Storm,1999-05-03,1999-05-06,3762.3,55,May,1999,1999-05-04,3.7623
Eastern Drought/Heat Wave,Drought,1999-06-01,1999-08-31,4723.0,502,July,1999,1999-07-16,4.723
Hurricane Floyd,Tropical Cyclone,1999-09-14,1999-09-16,12008.3,77,September,1999,1999-09-15,12.008299999999998
Southeast Winter Storm,Winter Storm,2000-01-21,2000-01-24,1299.0,4,January,2000,2000-01-22,1.299
Southern Severe Weather,Severe Storm,2000-03-28,2000-03-29,1248.9,0,March,2000,2000-03-28,1.2489000000000001
Western Fire Season,Wildfire,2000-03-01,2000-08-31,1945.9,0,June,2000,2000-05-31,1.9459000000000002
South Florida Flooding,Flooding,2000-10-03,2000-10-04,1602.0,3,October,2000,2000-10-03,1.602
Western/Central/Southeast Drought/Heat Wave,Drought,2000-03-01,2000-11-30,9194.7,140,July,2000,2000-07-16,9.194700000000001
Midwest/Ohio Valley Hail and Tornadoes,Severe Storm,2001-04-06,2001-04-11,5416.1,3,April,2001,2001-04-08,5.4161
North Central Severe Weather,Severe Storm,2001-04-30,2001-05-01,1174.4,0,May,2001,2001-04-30,1.1744
Tropical Storm Allison,Tropical Cyclone,2001-06-05,2001-06-17,14828.3,43,June,2001,2001-06-11,14.828299999999999
Severe Storms and Tornadoes,Severe Storm,2002-04-27,2002-04-28,3622.3,7,April,2002,2002-04-27,3.6223
Hurricane Lili,Tropical Cyclone,2002-08-01,2002-08-05,1899.7,2,October,2002,2002-08-03,1.8997
Tropical Storm Isidore,Tropical Cyclone,2002-09-25,2002-09-27,1966.5,5,September,2002,2002-09-26,1.9665
Eastern Tornadoes and Severe Storms,Severe Storm,2002-11-09,2002-11-11,1231.2,28,November,2002,2002-11-10,1.2312
Western Fire Season,Wildfire,2002-09-01,2002-11-30,2262.1,21,October,2002,2002-10-16,2.2620999999999998
U.S. Drought,Drought,2002-03-01,2002-11-30,15761.6,0,July,2002,2002-07-16,15.7616
Severe Storms/Hail,Severe Storm,2003-04-04,2003-04-07,3390.5,3,April,2003,2003-04-05,3.3905
Severe Storms/Tornadoes,Severe Storm,2003-05-03,2003-05-10,6977.1,51,May,2003,2003-05-06,6.9771
Midwest/Plains Severe Weather,Severe Storm,2003-07-04,2003-07-09,1450.2,7,July,2003,2003-07-06,1.4502000000000002
Southern Derecho and Eastern Severe Weather,Severe Storm,2003-07-21,2003-07-23,1704.0,7,July,2003,2003-07-22,1.704
Hurricane Isabel,Tropical Cyclone,2003-09-18,2003-09-19,9213.2,55,September,2003,2003-09-18,9.2132
Western/Central Drought/Heat Wave,Drought,2003-03-01,2003-11-30,8580.4,35,July,2003,2003-07-16,8.5804
California Wildfires,Wildfire,2003-09-01,2003-11-30,6535.9,22,October,2003,2003-10-16,6.5359
"Severe Storms, Hail, Tornadoes",Severe Storm,2004-05-21,2004-05-27,1663.0,4,May,2004,2004-05-24,1.663
Colorado Hail Storms,Severe Storm,2004-06-08,2004-06-09,1139.8,0,June,2004,2004-06-08,1.1398
Hurricane Charley,Tropical Cyclone,2004-08-13,2004-08-14,26239.1,35,August,2004,2004-08-13,26.239099999999997
Hurricane Frances,Tropical Cyclone,2004-09-03,2004-09-09,15973.9,48,September,2004,2004-09-06,15.9739
Hurricane Ivan,Tropical Cyclone,2004-09-12,2004-09-21,33415.8,57,September,2004,2004-09-16,33.415800000000004
Hurricane Jeanne,Tropical Cyclone,2004-09-15,2004-09-29,12219.2,28,September,2004,2004-09-22,12.2192
Southeast Severe Weather,Severe Storm,2005-03-24,2005-03-27,1392.8,0,March,2005,2005-03-25,1.3928
Hurricane Dennis,Tropical Cyclone,2005-07-09,2005-07-11,3967.0,15,July,2005,2005-07-10,3.967
Hurricane Katrina,Tropical Cyclone,2005-08-25,2005-08-30,197546.6,1833,August,2005,2005-08-27,197.5466
Midwest Drought,Drought,2005-03-01,2005-08-31,2403.9,0,June,2005,2005-05-31,2.4039
Hurricane Rita,Tropical Cyclone,2005-09-20,2005-09-24,28860.1,119,September,2005,2005-09-22,28.8601
Hurricane Wilma,Tropical Cyclone,2005-10-24,2005-10-24,29640.0,35,October,2005,2005-10-24,29.64
Severe Storms and Tornadoes,Severe Storm,2006-03-08,2006-03-13,2073.2,10,March,2006,2006-03-10,2.0732
Midwest/Southeast Tornadoes,Severe Storm,2006-04-06,2006-04-08,2469.8,10,,,2006-04-07,2.4698
Midwest Tornadoes,Severe Storm,2006-04-13,2006-04-16,3732.3,27,April,2006,2006-04-14,3.7323000000000004
Northeast Flooding,Flooding,2006-06-25,2006-06-28,2328.1,20,June,2006,2006-06-26,2.3281
North Central Severe Weather and Tornadoes,Severe Storm,2006-08-23,2006-08-24,1153.7,1,August,2006,2006-08-23,1.1537
Midwest/Plains/Southeast Drought,Drought,2006-03-01,2006-08-31,9356.8,0,June,2006,2006-05-31,9.3568
Central Severe Weather,Severe Storm,2006-10-02,2006-10-05,1353.6,1,October,2006,2006-10-03,1.3536
Numerous Wildfires,Wildfire,2006-01-01,2006-12-31,2288.7,28,,,2006-07-02,2.2887
California Freeze,Freeze,2007-01-11,2007-01-17,2142.0,1,January,2007,2007-01-14,2.142
Spring Freeze,Freeze,2007-04-04,2007-04-10,3127.5,0,April,2007,2007-04-07,3.1275
East/South Severe Weather and Flooding,Severe Storm,2007-04-13,2007-04-17,3761.9,9,April,2007,2007-04-15,3.7619000000000002
Western Wildfires,Wildfire,2007-06-01,2007-08-31,4084.5,12,July,2007,2007-07-16,4.0845
Western/Eastern Drought/Heat Wave,Drought,2007-06-01,2007-11-30,5413.6,15,August,2007,2007-08-31,5.413600000000001
"Western, Central and Northeast Severe Weather",Severe Storm,2008-01-04,2008-01-09,1443.7,12,January,2008,2008-01-06,1.4437
Southeast Tornadoes and Severe Weather,Severe Storm,2008-02-05,2008-02-06,1781.0,57,February,2008,2008-02-05,1.781
Southeast Tornadoes,Severe Storm,2008-03-14,2008-03-15,1640.0,5,March,2008,2008-03-14,1.64
Southern Severe Weather,Severe Storm,2008-04-09,2008-04-11,1497.0,2,April,2008,2008-04-10,1.497
Midwest Tornadoes and Severe Weather,Severe Storm,2008-05-22,2008-05-27,4332.1,13,May,2008,2008-05-24,4.3321000000000005
Midwest/Mid-Atlantic Severe Weather,Severe Storm,2008-06-06,2008-06-12,2323.1,18,June,2008,2008-06-09,2.3230999999999997
Midwest Flooding,Flooding,2008-04-01,2008-06-30,14639.0,24,July,2008,2008-05-16,14.639
Hurricane Dolly,Tropical Cyclone,2008-07-23,2008-07-25,1786.8,3,July,2008,2008-07-24,1.7868
Hurricane Gustav,Tropical Cyclone,2008-08-31,2008-09-03,8515.7,53,September,2008,2008-09-01,8.5157
Hurricane Ike,Tropical Cyclone,2008-09-12,2008-09-14,42598.3,112,September,2008,2008-09-13,42.5983
U.S. Wildfires,Wildfire,2008-09-01,2008-11-30,1752.3,16,October,2008,2008-10-16,1.7523
U.S. Drought,Drought,2008-01-01,2008-12-31,10304.6,0,,,2008-07-01,10.3046
Southeast/Ohio Valley Severe Weather,Severe Storm,2009-02-10,2009-02-11,2540.6,10,February,2009,2009-02-10,2.5406
Midwest/Southeast Tornadoes,Severe Storm,2009-03-25,2009-03-28,2395.1,0,March,2009,2009-03-26,2.3951
South/Southeast Severe Weather and Tornadoes,Severe Storm,2009-04-09,2009-04-10,2087.9,6,April,2009,2009-04-09,2.0879000000000003
Central Derecho and Tornadoes,Severe Storm,2009-05-07,2009-05-09,1248.6,7,May,2009,2009-05-08,1.2486
"Midwest, South and East Severe Weather",Severe Storm,2009-06-09,2009-06-12,1912.4,0,June,2009,2009-06-10,1.9124
Colorado Hail Storm,Severe Storm,2009-07-20,2009-07-20,1440.0,0,July,2009,2009-07-20,1.44
Georgia Flooding,Flooding,2009-09-19,2009-09-22,1293.8,10,September,2009,2009-09-20,1.2938
Western Wildfires,Wildfire,2009-06-01,2009-11-30,1457.1,10,August,2009,2009-08-31,1.4570999999999998
Southwest/Great Plains Drought,Drought,2009-01-01,2009-12-31,5133.2,0,,,2009-07-02,5.1331999999999995
Northeast Winter Storm,Winter Storm,2010-02-09,2010-02-11,1168.4,3,February,2010,2010-02-10,1.1684
Northeast Flooding,Flooding,2010-03-01,2010-03-31,2637.2,11,March,2010,2010-03-16,2.6372
East/South Flooding and Severe Weather,Flooding,2010-04-30,2010-05-02,3240.9,32,May,2010,2010-05-01,3.2409
"Oklahoma, Kansas, and Texas Tornadoes and Severe Weather",Severe Storm,2010-05-10,2010-05-12,4734.0,3,May,2010,2010-05-11,4.734
Rockies/Central/East Severe Weather,Severe Storm,2010-06-10,2010-06-15,1279.3,2,June,2010,2010-06-12,1.2792999999999999
Midwest/Northeast Severe Storms and Flooding,Severe Storm,2010-07-20,2010-07-23,1346.7,0,July,2010,2010-07-21,1.3467
Arizona Severe Weather,Severe Storm,2010-10-05,2010-10-06,5396.0,0,October,2010,2010-10-05,5.396
Groundhog Day Blizzard,Winter Storm,2011-02-01,2011-02-03,2529.8,36,February,2011,2011-02-02,2.5298000000000003
Midwest/Southeast Tornadoes and Derecho,Severe Storm,2011-04-04,2011-04-05,3829.7,9,April,2011,2011-04-04,3.8297
Southeast/Midwest Tornadoes,Severe Storm,2011-04-08,2011-04-11,3007.4,0,April,2011,2011-04-09,3.0074
Midwest/Southeast Tornadoes,Severe Storm,2011-04-14,2011-04-16,2841.8,38,April,2011,2011-04-15,2.8418
Ohio Valley Derecho and Southern Tornadoes,Severe Storm,2011-04-19,2011-04-20,1431.8,0,April,2011,2011-04-19,1.4318
Southeast/Ohio Valley/Midwest Tornadoes,Severe Storm,2011-04-25,2011-04-28,14106.3,321,April,2011,2011-04-26,14.1063
Midwest/Southeast Tornadoes,Severe Storm,2011-05-22,2011-05-27,12462.4,177,May,2011,2011-05-24,12.462399999999999
Mississippi River flooding,Flooding,2011-04-01,2011-05-31,4210.4,7,April,2011,2011-05-01,4.2104
Midwest/Southeast Tornadoes and Severe Weather,Severe Storm,2011-06-18,2011-06-22,2105.9,3,June,2011,2011-06-20,2.1059
Missouri River flooding,Flooding,2011-05-01,2011-06-30,2823.2,5, May,2011,2011-05-31,2.8232
North Central Severe Weather,Severe Storm,2011-07-01,2011-07-01,1216.6,0,,,2011-07-01,1.2166
Rockies and Midwest Derecho,Severe Storm,2011-07-10,2011-07-11,1692.1,2,,,2011-07-10,1.6921
Midwest/Southeast Severe Weather,Severe Storm,2011-08-17,2011-08-18,1577.4,0,,,2011-08-17,1.5774000000000001
Hurricane Irene,Tropical Cyclone,2011-08-26,2011-08-28,18486.7,45,August,2011,2011-08-27,18.4867
Southern Plains/Southwest Drought and Heat Wave,Drought,2011-03-01,2011-08-31,16870.5,95,June,2011,2011-05-31,16.8705
Tropical Storm Lee,Tropical Cyclone,2011-09-01,2011-09-05,3442.1,21,September,2011,2011-09-03,3.4421
Northeastern Winter Storm,Winter Storm,2011-10-29,2011-10-30,1267.3,1,October,2011,2011-10-29,1.2672999999999999
"Texas, New Mexico, Arizona Wildfires",Wildfire,2011-06-01,2011-11-30,2494.6,5,August,2011,2011-08-31,2.4945999999999997
Southeast/Ohio Valley Tornadoes,Severe Storm,2012-03-02,2012-03-03,4223.9,42,March,2012,2012-03-02,4.2238999999999995
Texas Tornadoes,Severe Storm,2012-04-02,2012-04-03,1370.6,0,April,2012,2012-04-02,1.3705999999999998
Midwest Tornadoes,Severe Storm,2012-04-13,2012-04-14,1516.9,6,April,2012,2012-04-13,1.5169000000000001
Midwest/Ohio Valley Severe Weather,Severe Storm,2012-04-28,2012-05-01,4423.1,1,April,2012,2012-04-29,4.423100000000001
Southern Plains/Midwest/Northeast Severe Weather,Severe Storm,2012-05-25,2012-05-30,3110.0,1,May,2012,2012-05-27,3.11
Rockies/Southwest Severe Weather,Severe Storm,2012-06-06,2012-06-12,3507.0,0,June,2012,2012-06-09,3.507
Plains/East/Northeast Derecho,Severe Storm,2012-06-29,2012-07-02,3899.5,28,June,2012,2012-06-30,3.8995
Hurricane Isaac,Tropical Cyclone,2012-08-26,2012-08-31,3730.8,9,August,2012,2012-08-28,3.7308000000000003
Hurricane Sandy,Tropical Cyclone,2012-10-30,2012-10-31,87153.2,159,October,2012,2012-10-30,87.1532
Western Wildfires,Wildfire,2012-06-01,2012-11-30,2347.0,8,August,2012,2012-08-31,2.347
